player,player_id,pass_angle,pass_length,under_pressure,pass_cross,pass_cut_back,pass_inswinging,pass_outswinging,pass_through_ball,pass_switch,pass_normal,location_x,location_y,pass_end_location_x,pass_end_location_y,play_pattern_from_corner,play_pattern_from_counter,play_pattern_from_free_kick,play_pattern_from_goal_kick,play_pattern_from_keeper,play_pattern_from_kick_off,play_pattern_from_throw_in,play_pattern_regular_play,pass_body_part_left_foot,pass_body_part_right_foot,pass_height_ground_pass,pass_height_high_pass,pass_height_low_pass,pass_completed
Eden Hazard,3621,2.099368,14.475496,0,0,0,0,0,0,0,1,42.7,36.1,35.4,48.6,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Francesc Fàbregas i Soler,3478,-0.90796906,19.663671,0,0,0,0,0,0,0,1,34.3,46.1,46.4,30.6,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Oscar dos Santos Emboaba Júnior,40122,0.9933567,15.754364,0,0,0,0,0,0,0,1,47.4,30.4,56.0,43.6,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Eden Hazard,3621,1.0309724,28.794617,0,0,0,0,0,0,0,1,77.7,44.3,92.5,69.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Branislav Ivanović,5594,-0.6209396,16.844286,0,0,0,0,0,0,0,1,95.2,69.0,108.9,59.2,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Oscar dos Santos Emboaba Júnior,40122,-1.7570617,33.4791,0,0,0,0,1,0,0,0,120.0,80.0,113.8,47.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Gary Cahill,3645,-1.531855,7.705842,1,0,0,0,0,0,0,1,107.5,57.0,107.8,49.3,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Oscar dos Santos Emboaba Júnior,40122,-1.3362911,48.63106,1,1,0,0,0,0,1,0,104.5,72.2,115.8,24.9,1,0,0,0,0,0,0,0,0,1,0,1,0,1
Diego da Silva Costa,5198,1.1659045,10.662083,0,1,0,0,0,0,0,0,115.8,24.9,120.0,34.7,1,0,0,0,0,0,0,0,1,0,0,0,1,0
César Azpilicueta Tanco,3957,0.4024428,16.085087,0,0,0,0,0,0,0,1,64.9,0.1,79.7,6.4,0,0,0,0,0,0,1,0,0,1,0,0,1,1
César Azpilicueta Tanco,3957,0.8630858,11.844408,0,0,0,0,0,0,0,1,83.9,0.1,91.6,9.1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
César Azpilicueta Tanco,3957,0.9365542,10.800463,0,0,0,0,0,0,0,1,82.9,0.1,89.3,8.8,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Eden Hazard,3621,-0.23936862,17.293062,0,0,0,0,0,0,0,1,87.0,8.3,103.8,4.2,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Diego da Silva Costa,5198,1.5947438,16.70479,1,0,0,0,0,0,0,1,113.4,4.0,113.0,20.7,0,0,0,0,0,0,1,0,1,0,1,0,0,0
César Azpilicueta Tanco,3957,1.5889761,11.001818,0,0,0,0,0,0,0,1,103.7,0.1,103.5,11.1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Willian Borges da Silva,3472,-3.125721,25.203175,0,0,0,0,0,0,0,1,103.5,11.1,78.3,10.7,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Nemanja Matić,3381,1.4990634,16.74306,1,0,0,0,0,0,0,1,78.4,10.1,79.6,26.8,0,0,0,0,0,0,1,0,1,0,0,0,1,1
Francesc Fàbregas i Soler,3478,2.5943084,29.978659,1,0,0,0,0,0,0,1,78.4,25.8,52.8,41.4,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Gary Cahill,3645,0.62385523,19.343733,0,0,0,0,0,0,0,1,49.6,65.7,65.3,77.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Branislav Ivanović,5594,-0.83535653,14.159802,0,0,0,0,0,0,0,1,65.0,77.3,74.5,66.8,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Oscar dos Santos Emboaba Júnior,40122,-0.5304935,53.561646,1,0,0,0,0,1,0,0,56.1,53.6,102.3,26.5,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Eden Hazard,3621,0.39334115,15.915401,0,0,0,0,0,0,0,1,85.3,0.1,100.0,6.2,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Diego da Silva Costa,5198,2.9739501,6.59242,0,0,0,0,0,0,0,1,100.0,6.2,93.5,7.3,0,0,0,0,0,0,1,0,0,1,1,0,0,1
César Azpilicueta Tanco,3957,0.17207797,37.960636,0,0,0,0,0,0,0,1,26.2,0.1,63.6,6.6,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Thibaut Courtois,3509,0.50416595,66.24198,0,0,0,0,0,0,0,1,7.0,44.1,65.0,76.1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
Branislav Ivanović,5594,-0.3857201,17.808426,1,0,0,0,0,0,0,1,65.0,76.1,81.5,69.4,0,0,0,1,0,0,0,0,0,1,0,1,0,1
